subject,type,label
http://purl.obolibrary.org/obo/OBI_0002282,http://purl.obolibrary.org/obo/OBI_0002279,pN2 (lung)
http://purl.obolibrary.org/obo/OBI_0002282,http://www.w3.org/2002/07/owl#NamedIndividual,pN2 (lung)
http://purl.obolibrary.org/obo/OBI_0002283,http://purl.obolibrary.org/obo/OBI_0002279,pN3 (lung)
http://purl.obolibrary.org/obo/OBI_0002283,http://www.w3.org/2002/07/owl#NamedIndividual,pN3 (lung)
http://purl.obolibrary.org/obo/OBI_0002284,http://www.w3.org/2002/07/owl#Class,pathologic lymph node stage for kidney according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002285,http://purl.obolibrary.org/obo/OBI_0002284,pN0 (kidney)
http://purl.obolibrary.org/obo/OBI_0002285,http://www.w3.org/2002/07/owl#NamedIndividual,pN0 (kidney)
http://purl.obolibrary.org/obo/OBI_0002286,http://purl.obolibrary.org/obo/OBI_0002284,pN1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002286,http://www.w3.org/2002/07/owl#NamedIndividual,pN1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002287,http://www.w3.org/2002/07/owl#Class,pathologic lymph node stage for ovary according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002288,http://purl.obolibrary.org/obo/OBI_0002287,pN0 (ovary)
http://purl.obolibrary.org/obo/OBI_0002288,http://www.w3.org/2002/07/owl#NamedIndividual,pN0 (ovary)
http://purl.obolibrary.org/obo/OBI_0002289,http://purl.obolibrary.org/obo/OBI_0002287,pN1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002289,http://www.w3.org/2002/07/owl#NamedIndividual,pN1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002290,http://www.w3.org/2002/07/owl#Class,pathologic distant metastases stage for colon according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002291,http://purl.obolibrary.org/obo/OBI_0002290,cM0 (colon)
http://purl.obolibrary.org/obo/OBI_0002291,http://www.w3.org/2002/07/owl#NamedIndividual,cM0 (colon)
http://purl.obolibrary.org/obo/OBI_0002292,http://purl.obolibrary.org/obo/OBI_0002290,cM1 (colon)
http://purl.obolibrary.org/obo/OBI_0002292,http://www.w3.org/2002/07/owl#NamedIndividual,cM1 (colon)
http://purl.obolibrary.org/obo/OBI_0002293,http://purl.obolibrary.org/obo/OBI_0002290,cM1a (colon)
http://purl.obolibrary.org/obo/OBI_0002293,http://www.w3.org/2002/07/owl#NamedIndividual,cM1a (colon)
http://purl.obolibrary.org/obo/OBI_0002294,http://purl.obolibrary.org/obo/OBI_0002290,cM1b (colon)
http://purl.obolibrary.org/obo/OBI_0002294,http://www.w3.org/2002/07/owl#NamedIndividual,cM1b (colon)
http://purl.obolibrary.org/obo/OBI_0002295,http://purl.obolibrary.org/obo/OBI_0002290,pM1 (colon)
http://purl.obolibrary.org/obo/OBI_0002295,http://www.w3.org/2002/07/owl#NamedIndividual,pM1 (colon)
